,Datetime,RTU_COMP_WATT,RTU_LA_COND_TEMP,RTU_MA_HUM,RTU_MA_TEMP,RTU_OA_HUM,RTU_OA_TEMP,RTU_RA_HUM,RTU_RA_TEMP,RTU_REFG_COND_TEMP_1,RTU_REFG_COND_TEMP_2,RTU_REFG_DISC_PRES_1,RTU_REFG_DISC_PRES_2,RTU_REFG_DISC_TEMP_1,RTU_REFG_DISC_TEMP_2,RTU_REFG_SUCT_PRES_1,RTU_REFG_SUCT_PRES_2,RTU_REFG_SUCT_TEMP_1,RTU_REFG_SUCT_TEMP_2,RTU_SA_FAN_WATT,RTU_SA_FLOW,RTU_SA_HUM,RTU_SA_TEMP,RTU_TOT_WATT,ZA_HUM,ZA_TEMP
5519,2020-09-25 14:00:00,4303.966731733333,35.69328623333333,53.061777799999994,24.0317192,49.697989066666665,25.915872333333333,56.63442073333333,24.9193793,15.7166104,27.69478996666667,15.653524833333334,6.9202873,75.31165056666667,29.383939466666668,4.9227613,6.9825811333333325,13.755203466666668,29.06919226666667,1691.6001219999998,2694.7156983,82.94552573333334,15.437898066666666,6745.533756266666,-14.803085,23.30042693333333
5520,2020-09-25 14:30:00,4267.9667968,35.3028728,53.3309494,23.994500333333335,49.79832163333333,26.003732233333334,56.457548100000004,24.995837400000003,15.805108866666666,27.303549133333334,15.5158383,6.939033833333334,75.22580593333333,29.403973133333334,4.9134269999999995,7.003505733333333,14.079073766666665,29.0252793,1689.6334553333331,2694.2411377000003,83.03699463333334,15.455131666666666,6706.100357866667,-14.803085,23.321051
5521,2020-09-25 15:00:00,4254.1000976000005,35.182735099999995,53.6110195,23.854102666666666,50.149061466666666,25.72711766666667,56.51574853333333,24.948487433333334,15.762837566666667,27.223749633333334,15.462666233333334,6.928709033333333,75.14556856666667,29.245183033333333,4.902586266666666,6.9900341,14.086084433333333,28.9226795,1690.5667886666665,2697.8570475666666,83.28878806666667,15.407079333333334,6693.100244,-14.803085,23.2820264
5522,2020-09-25 15:30:00,4229.933414666667,34.89517276666666,53.31724346666667,23.8221348,49.4275735,25.715000233333335,56.385759033333336,25.075631933333334,15.613327366666669,26.912646366666667,15.365547866666667,6.9241345333333335,75.0565453,28.809894666666665,4.8888643,6.9823353,13.981482366666667,28.562670733333334,1691.1334553333331,2696.7701009,83.1983515,15.364694266666667,6671.166878133333,-14.803085,23.2126047
5523,2020-09-25 16:00:00,4183.033414666666,34.297586366666664,53.30403483333334,23.63210013333333,47.70164436666666,25.955971533333333,57.01194143333333,25.238559033333335,15.553009766666666,26.456715066666668,15.166154733333334,6.905044466666666,74.74420673333334,28.24846386666667,4.858663933333333,6.959181633333333,14.026877033333333,28.0492678,1692.500122,2696.6118164,83.04116013333334,15.277982466666666,6628.0001952,-14.803085,23.1802815
5524,2020-09-25 16:30:00,3612.9333506333332,33.98634763333333,53.169070766666664,23.6087429,47.120632900000004,26.0124061,57.1525987,25.468785200000003,16.432442733333332,25.731333933333335,14.3210467,7.088449533333333,71.38782116666667,28.103165333333333,5.203615466666666,7.139571533333334,15.510044066666666,27.68102963333333,1691.4667683333332,2698.0552409,82.11986363333334,16.1468884,5965.86687,-14.803085,23.134132333333334
5525,2020-09-25 17:00:00,3906.4074977777777,33.63330874074074,54.5102174074074,23.37140692592593,49.45262707407408,25.73105311111111,56.62327718518519,25.407472777777777,16.799841,25.438931296296296,14.450586185185184,7.1186021111111115,71.0854385925926,27.70975851851852,4.948471925925926,7.165969703703703,16.84842851851852,27.443009925925928,1697.1852936296298,2804.426956740741,79.78010007407408,16.287353888888887,6327.259421925926,-14.803085,23.161546222222224
5526,2020-09-25 17:30:00,3424.6429554642855,32.66859335714285,57.59984528571429,22.9199345,56.032998500000005,24.765980607142858,56.97648442857143,25.043396392857144,17.066647749999998,24.467772749999998,13.637434857142859,7.147014892857143,69.82605714285714,27.03407575,5.201882892857142,7.190251321428571,17.585963285714286,26.756762178571428,1697.8929704285713,2747.426339285714,82.51338253571429,16.26438567857143,5776.250257071429,-14.803085,23.185369142857144
5527,2020-09-25 18:00:00,2961.777892185185,30.463433962962963,61.78338651851851,22.174760555555554,66.25268862962963,22.74587222222222,57.073238222222216,24.443152629629626,17.961544,22.760439444444447,12.548207444444445,7.3043946296296305,64.4558202962963,25.399638148148146,5.400428074074074,7.336023074074074,18.905991555555556,25.180783407407407,1701.6667886666664,2796.1657444074076,82.44063644444444,16.953673777777777,5257.85210037037,-14.803085,23.12288185185185
5528,2020-09-25 18:30:00,1724.3334115555556,26.43293427777778,63.94132744444445,21.5090385,71.65040583333332,21.056345500000003,57.83846938888889,24.225465222222223,20.176129722222225,21.203754222222223,10.519406833333333,7.861496388888889,47.7979575,23.76487927777778,6.282714833333333,7.885667333333334,19.17153,23.488909444444445,1698.6667886666664,2845.6370851111114,75.38296022222222,19.97311527777778,3805.0001626666667,-14.803085000000001,23.10791783333333
5529,2020-09-25 19:00:00,1599.8750982499998,24.160409125,64.64967925,21.009509625,73.17722875,20.033572125,57.8802005,24.1480695,20.791917625,21.053509875,10.3956315,8.036775,43.698111250000004,22.410661625,6.38085825,8.058245125,19.114873875,22.62618125,1706.000122,3025.497528,64.68570375,21.549994625,3671.0002744999997,-14.803085,22.977026625
5530,2020-09-25 19:30:00,1741.333496,22.953947666666664,65.52721666666666,20.629631,75.40700566666668,19.526137666666667,57.845108,23.951979333333338,20.653443666666664,20.466035333333334,10.351266,7.984378333333333,44.42910633333333,20.829746666666665,6.061304333333333,8.007302333333334,19.298547666666664,22.000704,1714.0001220000001,3075.6291503333337,61.54215766666667,21.698558000000002,3860.000203333333,-14.803085000000001,22.921072
5531,2020-09-25 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5532,2020-09-25 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5533,2020-09-25 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2020-09-25 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5535,2020-09-25 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5536,2020-09-25 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5537,2020-09-25 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5538,2020-09-25 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5539,2020-09-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5540,2020-09-26 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5541,2020-09-26 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5542,2020-09-26 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5543,2020-09-26 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5544,2020-09-26 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5545,2020-09-26 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5546,2020-09-26 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5547,2020-09-26 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5548,2020-09-26 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5549,2020-09-26 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5550,2020-09-26 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5551,2020-09-26 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5552,2020-09-26 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5553,2020-09-26 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5554,2020-09-26 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5555,2020-09-26 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5556,2020-09-26 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5557,2020-09-26 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5558,2020-09-26 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5559,2020-09-26 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5560,2020-09-26 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5561,2020-09-26 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5562,2020-09-26 11:30:00,2558.95002565,28.887643450000002,63.0012346,22.1178563,70.44342329999999,22.01593995,60.996119,24.34583145,19.411339950000002,22.8591383,12.1953114,7.7708262,55.66326719999999,19.44247005,5.8304678,7.7461206,20.01653675,23.6318742,1726.9501219999997,3004.34201665,68.5328986,19.87267495,4807.8501586,-14.803085,23.00532245
5563,2020-09-26 12:00:00,3302.904868333333,30.88726795238095,62.192824333333334,22.301821380952383,67.19052571428571,22.502888238095238,61.73732419047619,24.349512999999998,17.735221095238096,23.260573523809523,13.006192809523808,7.3323779047619055,64.52838938095238,21.727645000000003,5.403774809523809,7.36650061904762,19.362511904761906,24.757155857142855,1861.1429907619047,2855.5871232857144,77.29231271428571,17.503130095238095,5813.333629714286,-14.803085,23.03052585714286
5564,2020-09-26 12:30:00,3811.5385495384617,32.15705830769231,60.61429642307692,22.805733846153846,64.11839,23.037746153846154,61.61341238461539,24.535489692307692,16.954122230769233,24.336930576923073,13.901178076923077,7.175685923076923,70.23706023076923,25.86799153846154,5.148790653846154,7.2175066153846155,18.97100923076923,25.872505923076922,1900.384742076923,2804.228628269231,80.21756119230768,16.647961961538464,6438.000178384615,-14.803085,23.24487965384615
5565,2020-09-26 13:00:00,4091.566756133333,33.111924099999996,60.251719066666666,22.998068566666667,62.66111203333333,23.703193600000002,61.559673966666665,24.584435199999998,15.494010366666666,25.02565106666667,14.708857,6.890405933333333,74.80293526666667,26.758848066666665,4.8680346,6.936558866666667,16.265301866666668,26.795274333333335,1711.433455333333,2706.000512766667,84.08774366666667,15.574825333333333,6563.800162666666,-14.803085,23.3044807
5566,2020-09-26 13:30:00,4092.2667724,33.26025876666667,61.063866966666666,23.098678466666666,64.64227356666667,23.737720666666668,62.00684816666667,24.777961766666667,15.543222466666666,25.055583566666666,14.726686733333334,6.903287666666667,74.6473272,26.971264833333333,4.8748522,6.951244366666667,16.047421333333332,26.971939533333334,1695.7001219999997,2686.9547688666667,85.58417920000001,15.632967299999999,6546.866829333333,-14.803085,23.271022633333335
5567,2020-09-26 14:00:00,3820.6001057333333,31.646458133333333,63.716855900000006,22.638250466666666,68.79216,23.192833633333333,62.78806003333333,24.669851633333334,15.864385666666667,23.687364,14.041676599999999,6.955585733333334,72.72678246666666,25.87046133333333,4.941996933333333,6.998874900000001,17.037356199999998,25.84651493333333,1691.0001179333333,2704.8009684,86.38960423333333,15.806613733333334,6241.6001342,-14.803085,23.21475846666667
5568,2020-09-26 14:30:00,3250.2759706896554,31.69888420689655,63.947785068965516,22.67538472413793,70.51805351724138,22.771964344827587,63.43025682758621,24.71582820689655,16.83217127586207,23.553064586206894,13.324984034482759,7.138314344827585,67.89814996551723,25.990280689655172,5.327850931034483,7.178686103448276,18.572990931034482,25.75944375862069,1689.103532413793,2746.64572662069,86.06814455172415,16.895560310344827,5565.827817586206,-14.803085,23.23331096551724
5569,2020-09-26 15:00:00,2876.0,30.927452,64.153778,22.53694,68.431984,23.190422,64.004646,24.639925,15.514278,23.610338,13.411502,6.876913,72.927032,25.629511,5.076448,6.919605,17.836065,25.825808,1222.000122,2565.084473,85.637169,15.691188,4657.0,-14.803085,23.265251
5570,2020-09-26 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5571,2020-09-26 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5572,2020-09-26 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5573,2020-09-26 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5574,2020-09-26 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5575,2020-09-26 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5576,2020-09-26 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5577,2020-09-26 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5578,2020-09-26 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5579,2020-09-26 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5580,2020-09-26 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5581,2020-09-26 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5582,2020-09-26 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5583,2020-09-26 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5584,2020-09-26 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5585,2020-09-26 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5586,2020-09-26 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5587,2020-09-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5588,2020-09-27 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5589,2020-09-27 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5590,2020-09-27 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5591,2020-09-27 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5592,2020-09-27 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5593,2020-09-27 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5594,2020-09-27 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5595,2020-09-27 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5596,2020-09-27 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5597,2020-09-27 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5598,2020-09-27 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5599,2020-09-27 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5600,2020-09-27 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5601,2020-09-27 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5602,2020-09-27 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5603,2020-09-27 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5604,2020-09-27 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5605,2020-09-27 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5606,2020-09-27 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5607,2020-09-27 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5608,2020-09-27 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5609,2020-09-27 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5610,2020-09-27 11:30:00,2099.8333956666665,29.073441833333334,71.5728135,22.7709835,82.587841,13.785183833333333,69.766454,24.8610475,21.9736345,23.746520166666667,11.767115166666665,8.235882833333333,45.97418533333333,24.865242,6.400914,8.2749135,21.394008666666668,25.008247166666667,1700.6667886666667,3183.704834,65.00645183333334,23.320310666666668,4229.666910666667,-14.803085000000001,23.413852000000002
5611,2020-09-27 12:00:00,1578.0000182857143,29.805332285714286,70.93493321428572,22.950953642857144,81.35674778571429,13.470549928571428,69.87798364285715,24.919060142857145,22.386826214285716,23.820964,11.293629642857143,8.40793257142857,47.92957385714286,25.295029285714286,6.985084928571429,8.442997428571429,21.215877428571428,25.210614071428573,1698.3572648571428,3030.946934285714,68.97772842857144,23.405368214285716,3604.7859234285716,-14.803085,23.419361071428572
5612,2020-09-27 12:30:00,2854.8215081785715,31.90502282142857,70.51927785714285,23.04971714285714,79.01005425000001,14.200582857142857,70.57297467857143,24.869844142857144,19.565134464285713,24.613638357142857,13.057271607142857,7.809747142857143,63.46800207142858,26.505900035714287,5.906255678571428,7.852401392857144,21.053506857142857,26.52555835714286,1708.2858362857144,2932.0141602142858,78.39368160714285,19.735743714285714,5109.178689071428,-14.803085,23.43545525
5613,2020-09-27 13:00:00,3286.7308453846153,32.25629523076923,70.37342480769232,23.078075807692308,77.75119476923076,14.377804269230769,70.93050973076923,24.898651692307695,18.080417153846152,24.45945623076923,13.542324884615384,7.453277038461538,68.62751169230769,26.88705969230769,5.573512423076924,7.5005820384615385,20.366483961538464,26.765874115384616,1705.1924296923075,2858.7617844999995,84.13677742307692,18.225756769230767,5605.6540620000005,-14.803085,23.172014846153846
5614,2020-09-27 13:30:00,4206.866731733333,34.025134099999995,70.00858910000001,23.469611333333333,77.1164141,14.504267566666666,71.33525543333333,24.932160933333332,17.209911266666666,26.024124533333335,15.167939633333333,7.2866617,77.04870733333334,27.758130933333334,5.059740700000001,7.331486033333333,19.099616533333336,27.8577618,1696.933455333333,2747.7167399,86.90693996666667,17.130186700000003,6656.266813066667,-14.803085,23.386021633333332
5615,2020-09-27 14:00:00,4274.200065066666,34.78333203333333,69.23166503333333,23.857414666666667,75.41665276666666,15.066714566666667,71.5649902,25.06133403333333,17.344915033333333,26.707918433333337,15.462503766666666,7.328637366666666,77.71926503333334,28.638626,5.1145815,7.3790646,18.405579433333333,28.598624700000002,1690.8334553333332,2720.789266033333,87.7094434,17.286267,6716.867024533333,-14.803085,23.547434966666668
5616,2020-09-27 14:30:00,4311.833463466666,35.31420513333333,69.49216213333332,23.957328933333333,74.20834953333333,15.762463533333333,71.9052601,25.2029553,17.478183333333334,27.046140166666664,15.638369533333334,7.360081066666667,78.05395733333333,28.99795913333333,5.149085733333333,7.414014233333333,18.425153366666667,28.706485933333333,1686.4667764666665,2724.0905843,87.92135296666667,17.426585433333333,6751.2671384,-14.803085,23.5759147
5617,2020-09-27 15:00:00,3103.000244,35.725552,69.589195,24.045393,73.627533,15.929446,71.750038,25.29512,17.573694,27.007624,14.809604,7.361261,77.935661,29.478508,5.495804,7.422986,18.718969,29.033308,1209.000122,2551.49585,87.786491,17.505386,4860.000488,-14.803085,23.609215
5618,2020-09-27 15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5619,2020-09-27 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5620,2020-09-27 16:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5621,2020-09-27 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5622,2020-09-27 17:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5623,2020-09-27 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5624,2020-09-27 18:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5625,2020-09-27 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5626,2020-09-27 19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5627,2020-09-27 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5628,2020-09-27 20:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5629,2020-09-27 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5630,2020-09-27 21:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5631,2020-09-27 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5632,2020-09-27 22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5633,2020-09-27 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5634,2020-09-27 23:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5635,2020-09-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5636,2020-09-28 00:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5637,2020-09-28 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5638,2020-09-28 01:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5639,2020-09-28 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5640,2020-09-28 02:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5641,2020-09-28 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5642,2020-09-28 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5643,2020-09-28 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5644,2020-09-28 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5645,2020-09-28 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5646,2020-09-28 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5647,2020-09-28 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5648,2020-09-28 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5649,2020-09-28 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5650,2020-09-28 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5651,2020-09-28 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5652,2020-09-28 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,
5653,2020-09-28 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
5654,2020-09-28 09:30:00,1194.1667303333334,24.197046333333333,76.52163066666667,21.804893833333335,87.24478900000001,15.643035,72.748885,24.639925,21.819195166666663,22.10343366666667,10.166530999999999,8.373706333333333,37.32736166666667,21.903529666666667,7.153674,8.349634833333333,20.772829833333333,22.670517,1694.8334553333334,3089.0861815000003,68.990991,23.53018,3165.8334553333334,-14.803085000000001,23.568520833333334
5655,2020-09-28 10:00:00,1851.3530302941176,27.917317588235296,76.24982264705882,21.976728235294118,86.63373435294118,15.867272470588235,73.03939270588235,24.711386352941176,20.42794082352941,22.00082694117647,11.06777388235294,8.038570352941177,51.35762070588235,22.01221905882353,6.37755,8.050670352941177,20.222893588235294,23.45783994117647,1704.9412984705882,2991.830149823529,77.56275305882353,21.161770058823528,3952.7060617647057,-14.803085,23.373580470588234
5656,2020-09-28 10:30:00,3109.692422730769,30.404957692307693,75.26201788461539,22.317380884615382,84.15056076923078,16.142441884615383,73.33053,24.839284692307693,18.797295730769232,22.702751653846153,12.948889153846153,7.638881423076923,64.65882111538461,24.323837730769235,5.5138303461538465,7.668296846153846,20.771255153846155,24.425035846153847,1705.7693527692306,2911.4718863461535,83.2758668846154,18.93500630769231,5421.692547,-14.803085,23.094618884615386
5657,2020-09-28 11:00:00,4040.7000976,31.8658897,74.33794986666666,22.581950099999997,82.09988726666667,16.213948266666666,73.25237246666667,24.8118498,17.228096966666666,23.70566876666667,14.433353533333333,7.296487333333333,74.67785823333334,25.139178033333334,4.9624074333333335,7.330735066666667,19.9485786,25.2887268,1693.6001219999998,2757.3050456,87.58528849999999,17.1839761,6491.733496,-14.803085,23.292724133333333
5658,2020-09-28 11:30:00,4074.5000650666666,32.04633273333334,72.96450706666666,22.8089099,79.21780473333334,16.4631477,72.89369883333333,24.942187466666667,16.885902233333333,24.009276733333333,14.580601733333333,7.220929933333333,75.90933226666667,25.65615593333333,5.009878433333333,7.264805533333333,18.980091333333334,25.74978336666667,1681.700061,2717.6693684666666,88.32242453333333,17.009163100000002,6511.266861866667,-14.803085,23.413817533333333
5659,2020-09-28 12:00:00,4454.518626962963,32.83868525925926,71.97285066666666,23.107258037037038,77.29691518518518,17.033893000000003,72.33629833333333,25.14790614814815,16.986555666666668,24.698065666666665,14.854903703703703,7.244291740740741,76.29743081481482,26.231212222222226,5.053245703703704,7.2886035555555555,18.76501077777778,26.318230185185186,1807.5556278518518,2711.865731777778,88.45452007407408,17.10239659259259,7072.926034370371,-14.803085,23.443284444444444
5660,2020-09-28 12:30:00,4553.6801756800005,33.61730012,70.10016696,23.50014912,72.84488895999999,17.83244692,72.05681188,25.25894176,17.13865436,25.45329076,15.11811216,7.28046456,76.86473472,27.266084799999998,5.0870983999999995,7.323397959999999,18.64758688,27.33035632,1817.1600439200001,2718.5014649199998,88.17264212,17.104259319999997,7183.56019524,-14.803085,23.455551999999997
5661,2020-09-28 13:00:00,4215.700130133333,33.832482266666666,69.9335287,23.571316433333333,72.0920171,18.07937863333333,71.54752953333333,25.24756293333333,17.247670799999998,25.813866466666664,15.2428311,7.297276466666667,77.14964156666666,27.514212733333334,5.104572966666667,7.341023766666667,18.676766433333334,27.546051433333332,1672.6666666666667,2712.760880566667,88.27837886666666,17.132081433333333,6637.1335448,-14.803085,23.462621033333335
5662,2020-09-28 13:30:00,4295.233365866667,34.96269506666667,68.3187306,23.97247283333333,69.47013480000001,18.667123699999998,70.99043633333332,25.345522566666666,17.302088466666664,26.789135633333334,15.6087159,7.304411033333333,77.8225685,28.555925533333333,5.150014666666666,7.353729433333333,18.419322633333334,28.533530233333334,1670.2666666666667,2718.5938069666668,88.17576583333333,17.227411066666665,6711.833626133333,-14.803085,23.5517893
5663,2020-09-28 14:00:00,4255.8668130666665,34.53179096666667,68.19927883333334,23.875837833333332,69.0313434,18.523054899999998,70.32704846666667,25.46599086666667,17.281473533333333,26.3397484,15.440518433333333,7.304768033333334,77.57531363333334,28.25676083333333,5.1261567333333335,7.351832099999999,18.596319666666666,28.207923366666666,1671.6333333333334,2712.630428066667,88.18383666666666,17.147763166666667,6675.9003090666665,-14.803085,23.605473166666666
5664,2020-09-28 14:30:00,4188.000081333334,33.82297096666667,69.61584116666667,23.576117866666667,71.2705117,17.99794016666667,70.3257108,25.314007,17.366918066666663,25.556928566666667,15.140977466666667,7.315974066666667,77.12824690000001,27.6719232,5.0915957,7.360666,18.910819566666664,27.580858566666667,1673.1666707333331,2722.2667317,88.35293756666667,17.081700066666667,6611.4002765333325,-14.803085,23.580401300000002
5665,2020-09-28 15:00:00,4156.400065066667,33.28724046666667,71.10049616666667,23.30641263333333,75.10570556666667,17.1059608,70.65334453333334,25.166370866666668,17.514138066666664,25.190174366666668,14.9911306,7.336320133333333,76.84721656666667,27.118654466666666,5.0727120333333335,7.378009366666666,19.17416336666667,27.1156864,1676.3666991999999,2713.8089274333333,88.74552709999999,17.0483194,6586.900325333333,-14.803085,23.458150033333332
5666,2020-09-28 15:30:00,4179.7667642666665,33.706948133333334,70.95256373333333,23.3799172,74.64078316666668,17.162531966666666,71.15594533333334,25.242905466666667,17.497965466666663,25.3660982,15.1017374,7.349192566666667,77.06672536666666,27.2804811,5.090077633333333,7.393488866666667,19.040409099999998,27.2331266,1676.8333536666667,2721.5912923,88.62954963333333,17.129442466666667,6610.833512266666,-14.803085,23.4523292
5667,2020-09-28 16:00:00,4169.466748,33.41021103333333,70.79693796666668,23.337875566666664,73.40495253333333,17.338827733333336,71.5148325,25.21403133333333,17.387463266666668,25.226667533333334,15.0629239,7.3413328,76.94309926666666,27.25046293333333,5.078537666666667,7.384373733333334,18.887289099999997,27.214913333333335,1676.7666788666668,2722.5264159666667,88.59413676666667,17.07316163333333,6600.6001464,-14.803085,23.439564866666668
5668,2020-09-28 16:30:00,4137.4334309333335,32.90692813333333,71.32075653333332,23.17776256666667,74.4243099,17.092355533333333,71.21175586666666,25.204483166666666,17.369209266666665,24.83906956666667,14.925414066666667,7.341077533333333,76.64890546666668,26.702387433333335,5.057536166666667,7.380836633333333,18.9894614,26.7492688,1676.2000081333333,2718.617749066667,88.71529343333333,17.0232451,6569.233479733333,-14.803085,23.434513766666665
5669,2020-09-28 17:00:00,4134.966780533333,32.775592100000004,71.69686683333333,23.160692133333335,73.99744713333332,17.5852713,72.31494063333334,25.376260833333333,17.360532366666668,24.762407066666665,14.925437533333334,7.362439033333334,76.73525096666667,26.654494733333333,5.060741566666667,7.4028446,18.932753433333335,26.737464199999998,1673.5666666666666,2722.5286621333335,88.46622776666666,17.1130618,6561.2001952,-14.803085,23.360598133333333
5670,2020-09-28 17:30:00,4074.500040666667,32.415110633333335,73.23339406666668,22.750186066666668,76.43329829999999,16.861926033333333,72.00362543333334,25.013223766666666,17.492412899999998,24.169899233333336,14.651287966666667,7.3422929,76.13956379999999,26.123823333333334,5.0189606,7.375409333333334,19.143761433333335,26.183724199999997,1674.5000040666666,2718.5013183333335,88.95105693333333,16.897253033333335,6503.166878133333,-14.803085,23.282104066666665
